Date,Open,High,Low,Close,Volume,Change Pct
2006-03-23,38280.0,38350.0,37400.0,37660.0,6501,-1.1
2006-03-24,37550.0,37980.0,37440.0,37820.0,5478,0.42
2006-03-27,37600.0,38150.0,37300.0,38037.0,6676,0.57
2006-03-28,37300.0,37920.0,36730.0,36933.0,8693,-2.9
2006-03-29,36890.0,37650.0,36800.0,37600.0,6487,1.81
2006-03-30,37820.0,38210.0,37560.0,37958.0,10552,0.95
2006-03-31,37940.0,38110.0,37750.0,38053.0,5400,0.25
2006-04-03,38350.0,39000.0,38220.0,38809.0,8380,1.99
2006-04-04,38980.0,39210.0,38700.0,38839.0,9970,0.08
2006-04-05,38790.0,39160.0,38510.0,39093.0,8223,0.65
2006-04-06,39100.0,39350.0,38700.0,39225.0,8603,0.34
2006-04-07,39250.0,39500.0,38640.0,38845.0,9363,-0.97
2006-04-10,38680.0,38780.0,38250.0,38378.0,8780,-1.2
2006-04-11,38570.0,38770.0,37810.0,37939.0,9827,-1.14
2006-04-13,38850.0,39080.0,38590.0,38715.0,6326,2.05
2006-04-17,38920.0,39240.0,38820.0,38971.0,5898,0.66
2006-04-18,39050.0,40400.0,39050.0,40205.0,9706,3.17
2006-04-19,40500.0,40720.0,40100.0,40628.0,11594,1.05
2006-04-20,40460.0,40850.0,40050.0,40403.0,9038,-0.55
2006-04-24,40650.0,40700.0,40230.0,40395.0,9938,-0.02
2006-04-25,40530.0,40590.0,40090.0,40172.0,12225,-0.55
2006-04-26,40300.0,41100.0,40135.0,40962.0,12870,1.97
2006-04-27,40720.0,40900.0,40220.0,40433.0,11463,-1.29
2006-04-28,40205.0,40915.0,40200.0,40846.0,9007,1.02
2006-05-02,40900.0,41500.0,40700.0,41467.0,9898,1.52
2006-05-03,41350.0,41500.0,41060.0,41389.0,9426,-0.19
2006-05-04,41500.0,41750.0,41300.0,41418.0,11801,0.07
2006-05-05,41450.0,41960.0,41450.0,41889.0,6726,1.14
2006-05-08,41730.0,42095.0,41510.0,42015.0,9427,0.3
2006-05-09,42050.0,42400.0,41960.0,42351.0,7376,0.8
2006-05-10,42250.0,42350.0,41790.0,41999.0,7680,-0.83
2006-05-11,42270.0,42380.0,41070.0,41152.0,9537,-2.02
2006-05-12,40900.0,40960.0,40140.0,40397.0,6762,-1.83
2006-05-15,40010.0,40230.0,39200.0,39585.0,9805,-2.01
2006-05-16,39900.0,40430.0,39300.0,39769.0,12470,0.46
2006-05-17,40000.0,40070.0,38280.0,38542.0,10828,-3.09
2006-05-18,38450.0,38950.0,38000.0,38217.0,11236,-0.84
2006-05-19,38540.0,38700.0,37600.0,37872.0,0,-0.9
2006-05-22,37500.0,37500.0,35870.0,36835.0,9225,-2.74
2006-05-23,37200.0,37715.0,35760.0,36341.0,10954,-1.34
2006-05-24,35850.0,36530.0,35000.0,35635.0,12430,-1.94
2006-05-25,36400.0,37750.0,36100.0,37529.0,11787,5.31
2006-05-26,37700.0,38820.0,37580.0,38705.0,9338,3.13
2006-05-29,38810.0,38900.0,38080.0,38268.0,6356,-1.13
2006-05-30,37750.0,37900.0,36540.0,36694.0,13537,-4.11
2006-05-31,37000.0,37370.0,36400.0,36730.0,12845,0.1
2006-06-01,36700.0,37990.0,36500.0,37721.0,12713,2.7
2006-06-02,37970.0,38680.0,37470.0,38124.0,11645,1.07
2006-06-05,38000.0,38230.0,36750.0,36859.0,10782,-3.32
2006-06-06,37000.0,37080.0,35720.0,36342.0,14350,-1.4
2006-06-07,36600.0,36880.0,35300.0,35610.0,16400,-2.01
2006-06-08,34800.0,35640.0,34460.0,35495.0,17036,-0.32
2006-06-09,36000.0,36180.0,34990.0,35227.0,10521,-0.76
2006-06-13,33000.0,33560.0,32820.0,33020.0,7873,-6.27
2006-06-16,34700.0,35200.0,34080.0,35089.0,8985,6.27
2006-06-19,35150.0,35340.0,34200.0,34645.0,12937,-1.27
2006-06-20,34320.0,34770.0,34180.0,34282.0,14159,-1.05
2006-06-21,34100.0,35260.0,33800.0,35148.0,11452,2.53
2006-06-22,35270.0,35350.0,34740.0,34903.0,6737,-0.7
2006-06-23,34850.0,35495.0,34370.0,35257.0,12396,1.01
2006-06-26,35300.0,35490.0,34950.0,35218.0,8196,-0.11
2006-06-27,34920.0,35610.0,34900.0,35105.0,5782,-0.32
2006-06-28,35150.0,35500.0,34900.0,35294.0,10103,0.54
2006-06-29,35625.0,37230.0,35625.0,36938.0,11509,4.66
2006-06-30,37150.0,37650.0,36900.0,37134.0,10177,0.53
2006-07-03,37280.0,38070.0,37200.0,37995.0,5547,2.32
2006-07-04,37990.0,38275.0,37800.0,37914.0,4614,-0.21
2006-07-05,37590.0,37600.0,36800.0,36867.0,12474,-2.76
2006-07-06,37200.0,37530.0,36860.0,36955.0,12561,0.24
2006-07-07,37100.0,37600.0,36270.0,36416.0,12389,-1.46
2006-07-10,36700.0,36920.0,36265.0,36499.0,9526,0.23
2006-07-11,36500.0,37190.0,35960.0,36975.0,12855,1.3
2006-07-12,36950.0,37100.0,36540.0,36630.0,12959,-0.93
2006-07-13,36150.0,36250.0,35610.0,35789.0,12540,-2.3
2006-07-14,35730.0,36080.0,35320.0,35638.0,12753,-0.42
2006-07-17,35500.0,35850.0,35170.0,35285.0,9172,-0.99
2006-07-18,35400.0,35680.0,34930.0,35422.0,13491,0.39
2006-07-19,35550.0,37100.0,35300.0,37027.0,12052,4.53
2006-07-20,37250.0,37360.0,36150.0,36244.0,12902,-2.11
2006-07-21,36320.0,36550.0,35560.0,35754.0,7735,-1.35
2006-07-24,36010.0,36620.0,35870.0,36551.0,11363,2.23
2006-07-25,36500.0,37020.0,36380.0,36966.0,13299,1.14
2006-07-26,36870.0,37250.0,36730.0,36977.0,11382,0.03
2006-07-27,37000.0,37360.0,36830.0,37031.0,11985,0.15
2006-07-28,37080.0,37800.0,37030.0,37681.0,9842,1.76
2006-07-31,37580.0,37580.0,37180.0,37406.0,8056,-0.73
2006-08-01,37050.0,37360.0,36720.0,37008.0,13052,-1.06
2006-08-02,37200.0,37690.0,37140.0,37498.0,11563,1.32
2006-08-03,37100.0,37880.0,37020.0,37730.0,13330,0.62
2006-08-04,37750.0,38350.0,37620.0,38003.0,12417,0.72
2006-08-07,37700.0,38020.0,37610.0,37756.0,13312,-0.65
